Dst-Nr.;KZ;Dst-Bezeichnung-offiziell;Dst-Bezeichnung lang;Dst-Abk;GO-Nr;GO-Abk;Ort;Gde-Nr;Gde-Name;Kanton;Betriebspunkt;Haltestelle;Bedienpunkt;Reiner Betriebspunkt;Tarifhaltestelle;KOORDE;KOORDN;KOORDZ;BPUIC
1006;6;Meyrin;;VM;11;SBB CFF FFS;Meyrin;6630;Meyrin;GE;*;*;;;;494934.81;119902.82;433.5;8501006
95458;6;Meyrin, Bugnons;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494978.71;121406.85;428;8595458
87915;5;Ségny, centre;;;881;TPG;;;;;*;*;;;;494986.74;128098.67;486;8587915
92759;0;Confignon, Les Oulaines;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;495012.71;113910.86;425;8592759
93163;4;Vernier, Morglas;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;495013.71;119472.85;434;8593163
94933;9;Meyrin, Bois-du-Lan;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;495015.71;120453.86;431;8594933
95045;1;St-Julien-en-Genevois, hôpital;;;881;TPG;;;;;*;*;;;;495017.69;111415.88;450;8595045
93022;2;Meyrin, Vaudagne;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;495024.71;121098.85;438;8593022
92665;9;Bernex, Vuillonnex;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;495035.71;114951.83;439;8592665
94957;8;St-Julien-en-Genevois, Arande;;;881;TPG;;;;;*;*;;;;495037.69;110763.88;458;8594957
95553;4;St-Julien-en-G., Rue Muguets;;;881;TPG;;;;;*;*;;;;495053.69;110370.88;475;8595553
93177;4;Vernier, village;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;495085.71;118826.83;439;8593177
93156;8;Vernier, Delay;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;495100.7;119281.85;436;8593156
92651;9;Bernex, Blanchards;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;495125.67;117184.82;405;8592651
1060;3;La Cure;;CURE;66;NStCM;La Cure;5727;Saint-Cergue;VD;*;*;;;;495148.08;146893.5;1154.300000000003;8501060
93045;3;Certoux, village;;;881;TPG;Perly;6632;Perly-Certoux;GE;*;*;;;;495173.69;112517.86;425;8593045
87092;3;St-Julien-en-Genevois, centre;;;881;TPG;;;;;*;*;;;;495197.69;111280.88;447;8587092
93008;1;Meyrin, Champs-Fréchets;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;495198.71;121540.84;427;8593008
94944;6;Prévessin, Ancienne Douane;;;881;TPG;;;;;*;*;;;;495204.7;122675.82;430;8594944
95028;7;Meyrin, mairie;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;495228.71;121140.85;441;8595028
93010;7;Meyrin, Forumeyrin;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;495263.72;120813.85;436;8593010
92756;6;Confignon, Croix-de-Chavant;;;881;TPG;Confignon;6618;Confignon;GE;*;*;;;;495268.7;114302.84;433;8592756
93176;6;Vernier, marché;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;495304.69;119105.85;440;8593176
